del do
los os
las as
fue foi
the the
#redirección #redirecionamento
enlaces ligações
hasta até
ciudad cidade
está está
tiene tem
uno um
había havia
vez vez
aunque embora
además além
mayor maior
otras outras
junto junto
hay há
mientras enquanto
marzo março
debido devido
tuvo teve
otra outra
premio prêmio
premios prêmios
futbolistas futebolistas
están estão
luis luis
unos uns
les les
localidades localidades
misma mesma
países países
época época
española espanhola
porque porque
cualquier qualquer
socorro socorro
posteriormente posteriormente
santiago santiago
cargo cargo
peak peak
hoy hoje
ambos ambos
style style
pues pois
llegó chegou
cest cest
unido unido
habían haviam
algo alguma
algo algo
china chinesa
dio deu
propio próprio
convirtió converteu
convirtió transformou
allí lá
hijos filhos
estuvo esteve
meses meses
municipal municipal
david davi
nació nasceu
recibió recebeu
saint saint
dicho dito
estar estar
realizó realizou
clase turma
pasó passou
estaban estavam
deportivo desportivo
academia academia
unas umas
obtuvo obteve
martín martín
martín martinho
propia própria
comuna comuna
casos casos
actualidad actualidade
única única
debut estreia
relaciones relacionamentos
actividades atividades
nuevas novas
lleva leva
cet cet
católica católica
nos nos
ocasiones ocasiões
logró conseguiu
you you
murió morreu
des des
paul paul
vol vol
creo acho
creo acredito
llevó levou
decidió decidiu
aire ar
jean jean
volvió voltou
gente gente
alguna alguma
cuya cuja
algún algum
escribió escreveu
quedó ficou
videojuegos videojogos
publicó publicou
pudo pôde
áreas áreas
temporadas épocas
temporadas temporadas
ambas ambas
music music
mayores maiores
conoce conhece
piedra pedra
mil mil
inició iniciou
dejó deixou
tour tour
abr abr
llega chega
musicales musicais
mount mount
pocos poucos
mediados meados
dic dic
pie pé
numerosos numerosos
casas vivendas
nuevamente novamente
consiguió conseguiu
deportes desportos
hacen fazem
terminó terminou
terminó acabou
tiempos tempos
hubo houve
hab hab
formó formou
referirse referir
originalmente originalmente
claro claro
bajos baixos
firme firme
suele costuma
numerosas numerosas
tuvieron tiveram
creó criou
produce produz
autónoma autônoma
tomar tomá
produjo produziu
británica britânica
estudió estudou
presentó apresentou
aquel aquele
national national
anunció anunciou
ahí aí
estatal estadual
pronto logo
italiana italiana
alcanzó alcançou
tomó pegou
river river
adelante adiante
hicieron fizeram
máxima máxima
alguien alguém
aérea aérea
per per
tenido tido
hogar repouso
mantuvo manteve
noroeste noroeste
amerindios ameríndios
actuación atuação
marcha marcha
corea coréia
clases aulas
isleños ilhéus
debutó estreou
consiste consiste
fundó fundou
bandas bandas
voto voto
perdió perdeu
arriba topo
regresó voltou
vive mora
louis louis
justo justo
right right
art art
sebastián sebastião
histórica histórica
diputado deputado
comarca comarca
llegaron chegaram
cree acredita
ofrece oferece
lanzó lançou
esas essas
