les le
dans in
par da
sur su
avancement avanzamento
mais ma
ont hanno
décès decessi
références referenze
externes esterni
source sorgente
grand grande
avant anteriore
vers verso
faire fare
autre altro
todo todo
grande grande
communes comuni
roi re
époque epoca
devient diventa
située situata
trouve trova
habitants abitanti
rôle ruolo
souvent spesso
situé situato
cependant tuttavia
tard tardi
match partita
suivant successivo
ailleurs altrove
présente presente
agit agisce
mer mare
mère madre
classement classifica
devant davanti
arts arti
championnats campionati
parfois talvolta
sein mammella
donne dà
autour intorno
mis messo
municipalité municipalità
rencontre incontro
matchs partite
particulier particolare
seule sola
suivante successiva
moi io
joue gioca
agglomération agglomerazione
fiche scheda
width width
académie accademia
entrée entrata
marque marchio
single singolo
locales locali
com com
principalement principalmente
éléments elementi
vallée valle
anciens antichi
montréal montréal
retrouve ritrova
choix scelta
bonjour buongiorno
quatrième quarto
présent presente
sort esce
oui sì
annonce annuncio
comprend comprende
devenu diventato
publique pubblica
parties parti
trouver trova
localité località
devenir divenire
devenir diventare
géolocalisation geolocalizzazione
élève allievo
saisons stagioni
meurt muore
rend rende
professionnel professionista
fontsize fontsize
textes testi
josé josé
chacun ciascuno
chacun ognuno
quoi cosa
pyrénées pirenei
journée giornata
locale locale
beaux belli
circonscription circoscrizione
proximité prossimità
sportif sportivo
eut ebbe
besoin bisogno
réserve riserva
background background
vit vive
devint divenne
devint diventò
local locale
crée crea
dessinée disegnata
manque mancanza
pourtant eppure
argument argomento
expérience esperimento
restauration ristorazione
prison carcere
reprend riprende
rang rango
portant recante
peine pena
cordialement cordialmente
désigner designare
orléans orléans
propres puliti
permettre consentire
mairie municipio
choses cose
reprise ripresa
magnitude magnitudo
avenue avenue
écrite scritta
mary mary
mines miniere
locaux locali
museum museum
coureur corridore
collecte raccolta
seuls soli
rio rio
francisco francisco
correspond corrisponde
conduit condotto
atteindre raggiungere
volley volley
conception progettazione
passant passante
constitué costituito
fontaine fontana
gabriel gabriel
branche ramo
devenue diventata
rencontres incontri
tué ucciso
revanche rivincita
net netto
certaine certa
faculté facoltà
change cambia
buteur centravanti
effectif effettivo
débat dibattito
mayotte mayotte
rouges rosse
accueil accoglienza
religieuse religiosa
installe installa
zonage zonizzazione
porté indossato
metal metal
effectue effettua
localisation localizzazione
nef navata
importe importa
paroles testi
