del des
nel im
dal vom
the the
dopo nach
cest mesz
cet cet
regia regie
dove wo
calciatore fußballspieler
così so
quindi also
volta mal
italiana italienische
perché warum
verso zu
periodo zeitraum
lui er
invece statt
invece stattdessen
infatti nämlich
diretto direkten
coppa pokal
tuttavia jedoch
corso laufe
sito website
termine frist
volte mal
mar mar
palazzo palast
egli er
nonostante trotz
stazione bahnhof
marcatori marker
usa usa
massimo höchstens
fiume fluss
forse vielleicht
protagonista hauptrolle
color color
pubblico öffentlichen
infine schließlich
media medien
marco marco
you you
sant sant
almeno zumindest
informazioni informationen
italiani italiener
disco festplatte
campionati meisterschaften
cestista basketballspieler
saint saint
league league
casi fällen
cultura kultur
troppo zu
football football
essendo dasein
riferimento bezug
costa costa
reale realen
oppure oder
piuttosto eher
prese steckdosen
porto hafen
border border
ufficiali amtlichen
quarto vierten
comprende umfasst
sole sonne
isole inseln
fin fin
polizia polizei
demografica demografischen
popolo volk
buon gutes
passa vergeht
with with
arrivo anreise
ambiente umwelt
tecnico technischen
angeles angeles
settentrionale nördlichen
vertical vertical
cattedrale kathedrale
diventare werden
autorità behörden
orientation orientation
omonimo gleichnamigen
canadese kanadischen
ottiene bekommt
pertanto deshalb
pertanto daher
bassi niederlanden
nazioni nationen
red red
imperiale kaiserlichen
sur sur
rio rio
ovviamente natürlich
metal metal
championship championship
sesto sexten
olio öl
magari vielleicht
sin sin
talvolta manchmal
college college
umano menschlichen
aspetti aspekte
neat neat
diventato geworden
siti websites
racconta erzählt
manga manga
finalmente endlich
accanto neben
economico wirtschaftlichen
vale vale
varietà vielzahl
posteriore hinten
modella model
incontra trifft
monumenti sehenswürdigkeiten
street street
assedio belagerung
ospita beherbergt
online online
relazioni beziehungen
imho imho
anteriore vorderen
lontano weit
digitale digitalen
cantautore songwriter
game game
concessione gewährung
amministrativo administrativen
altrimenti sonst
avviso bekanntmachung
corsi kurse
medioevo mittelalter
eventuali etwaige
clima klima
chiama nennt
impianti anlagen
penisola halbinsel
doppiatore synchronsprecher
colle colle
operativo operationellen
potrebbero könnten
indiano indischen
doppia doppelzimmer
are are
central central
assunto eingenommen
las las
colpito getroffen
tribunale gericht
sanremo sanremo
treno zug
navata kirchenschiff
greci griechen
pontificio päpstliches
buenos buenos
migliaia tausende
indoor indoor
ferrovie eisenbahn
corrispondente entsprechenden
sinistro linken
scontri auseinandersetzungen
certamente sicherlich
italo italo
women women
manuale handbuch
como como
son son
democratico demokratischen
deputato abgeordneten
classifiche rankings
tardo späten
esistente bestehenden
esistente bestehende
agenti bediensteten
sessuale sexuelle
accademico akademischen
debutta debüts
chiunque jedermann
candidatura bewerbung
river river
recupero verwertung
elettrico elektrische
fantasy fantasy
database datenbank
final final
miliardi milliarden
ordinato bestellt
nucleare nukleare
esistenti bestehenden
esistenti bestehende
editoriale redaktionelle
news news
pictures pictures
book book
partendo ausgehend
etc etc
zelanda seeland
apostolico vikariat
bay bay
census census
woman woman
affresco fresko
specifiche spezifischen
naturalmente natürlich
rugbista rugbyspieler
ita ger
partigiano partisan
girls girls
dovevano mussten
pino pino
more more
ella ella
parlamentare parlamentarischen
costumi kostüme
messicano mexikanischen
rurale ländliche
movie movie
baia bucht
tende zelte
funzionamento funktionieren
corretta ordnungsgemäße
ville villen
fossili fossilen
automobilistico autohersteller
garcía garcía
mettendo indem
settori bereichen
lake lake
pallavolista volleyballspieler
european european
let let
viva viva
stadium stadium
metro metro
scavi ausgrabungen
maría maría
sessione tagung
aiuta hilft
just just
rifiuta weigert
three three
arturo arturo
martín martín
sea sea
mantenimento aufrechterhaltung
calci treten
registrazioni aufzeichnungen
dedica widmet
penale strafrechtlichen
curato gepflegt
riserve reserven
conservata aufbewahrt
deposito hinterlegung
appello appell
ludwig ludwig
scopi zwecke
appartamento wohnung
valley valley
rivelato ergeben
cruz cruz
vuelta vuelta
take take
business business
there there
parrocchie pfarreien
dos dos
sedi gremien
ferma halt
arrondissement arrondissement
piemontese piemontesischen
sol sol
michelangelo michelangelo
mezza halbe
mira mira
finora bisher
port port
bagno badezimmer
improvvisamente plötzlich
división división
avessero hätten
indicazione angabe
mountain mountain
inc inc
model model
want want
legami bindungen
andrej andrej
presentare vorzulegen
prof prof
globale globalen
incisore graveur
cantiere baustelle
grafico schaubild
capocannoniere torschützenkönig
distinti getrennte
une une
rovine ruinen
justice justice
banco banco
albergo hotel
altrove anderswo
alo alo
pan pan
barca boot
wta wta
manufacturing manufacturing
sports sports
inedito unveröffentlicht
perdono vergebung
raffaello raphael
martínez martínez
mina mina
nacional nacional
local local
historia historia
years years
pontefice pontifex
marcos marcos
catturare erfassen
miles miles
anziani senioren
intellettuale geistigen
laterza laterza
trasferta auswärts
pavimento fußboden
este este
rappresentazioni darstellungen
datato datiert
stavolta diesmal
call call
scalo zwischenlandung
millennio millennium
our our
adolfo adolfo
salire steigen
rodríguez rodríguez
picco peak
pausa zeitrechnung
know know
viceversa umgekehrt
tele tele
bye bye
stellare stellar
fausto fausto
gallese walisischen
diga damm
trasformare verwandeln
procuratore staatsanwalt
impostazione einstellung
imperatrice kaiserin
crociera tempomat
han han
trinità dreifaltigkeit
australian australian
olanda niederlande
ira ira
make make
succedette beerbte
trattare behandeln
gorizia görz
giovan giovan
screenshot screenshot
copa copa
positivi positiven
par par
españa españa
muso schnauze
illustrato dargelegt
avvicina nähert
celebrato gefeiert
recitazione schauspielerei
trophy trophy
carnevale karneval
genoa genoa
caratterizza kennzeichnet
laguna laguna
church church
egiziano ägyptischen
armeno armenischen
albano albano
mas mas
longobardi langobarden
combinata kombinierten
incontrato traf
spinto gedrängt
foce mündung
finanziario finanzielle
fretta eile
trasportare transportieren
coast coast
dolci süßen
operativi operationellen
dans dans
ltd ltd
superstiti hinterbliebene
wall wall
vegetali pflanzlichen
scacchista schachspieler
ana ana
cileno chilenischen
trascorso verbracht
alejandro alejandro
too too
nicolás nicolás
doctor doctor
appennino appennino
ovunque überall
largamente weitgehend
faro leuchtturm
uovo ei
subiti erlittenen
sella sattel
primera primera
chiostro kreuzgang
eccessiva übermäßige
their their
ramírez ramírez
umanista humanist
onorario honorar
vicente vicente
elettrici elektrische
capolinea endstation
sosta zwischenstopp
antifascista antifaschistischen
turistico touristischen
falls falls
intrapreso unternommen
giacinto giacinto
futsal futsal
squalifica disqualifikation
spp spp
attualità aktuelles
squadron squadron
elaborato ausgearbeitet
entroterra hinterland
civil civil
imporre durchzusetzen
félix félix
controversia streit
astronave raumschiff
fratellastro halbbruder
ecclesiastici kirchlichen
cronologico chronologischer
potenziali potenziellen
dcr dcr
attack attack
plata plata
fiammingo flämischen
cargo cargo
lobo lobo
casalinghe hausfrauen
sciatrice skirennläuferin
truth truth
ligue ligue
selvaggio wilden
dargli ihm
nanni nanni
émile émile
américa américa
visual visual
wings wings
corale choral
velo velo
tecnologico technologische
rinominato umbenannt
cellulari handys
week week
governatorato gouvernement
bobbista bobfahrer
vincoli zwänge
biografiche biografischen
fanti fanti
contrapposizione gegensatz
delgado delgado
tant tant
roba zeug
pie pie
factor factor
tenda zelt
honor honor
railway railway
township township
schermitrice fechterin
aderire beitreten
marsilio marsilio
store store
location location
gaspare gaspare
panoramica übersicht
prize prize
naval naval
senese senese
capolavori meisterwerke
scissione spaltung
vallone wallonischen
río río
animal animal
basamento standplatz
purché sofern
promontorio landzunge
canal canal
théâtre théâtre
selva wolkenstein
puerto puerto
them them
annate jahrgänge
abita wohnt
boca boca
supergruppo supergroup
ecclesiae ecclesiae
messaggero gesandten
cit cit
secessione sezession
manlio manlius
prossimi nächsten
release release
romero romero
portante tragende
lirico lirico
valeri valeri
ciononostante trotzdem
feldmaresciallo feldmarschall
emblema emblem
iva mehrwertsteuer
detenzione inhaftierung
detenzione haft
ricevute eingegangenen
esercita übt
nominale nominalen
every every
door door
norte norte
coniato geprägt
demografico demografischen
sammarinese sammarinese
today today
germano germano
víctor víctor
sollevato angesprochen
longobarda benediktinern
secolare jahrhundertealten
demetrio demetrios
municipal municipal
negro nigger
ricovero einweisung
banchi bänken
declinazione deklination
would would
namespace namespace
campeonato campeonato
cable cable
discografiche plattenlabels
prego bitte
vida vida
alfabetico alphabetischer
infarto herzinfarkt
avversaria gegnerin
île île
castellano castellano
blanco blanco
filippino philippinischen
ponente ponente
pittorica bildliche
deportivo deportivo
académie académie
medal medal
minas minas
adriatica adriatica
compositrice komponistin
transilvania siebenbürgen
díaz díaz
congress congress
welcome welcome
interim interim
consultare konsultieren
capital capital
inclusione einbeziehung
lodovico lodovico
flores flores
por por
valere geltend
scotland scotland
annales annales
metropolitano metropolitano
sassofonista saxophonist
onomastico namenstag
coinvolgere einzubeziehen
tranquilla ruhigen
